CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu,'Type de roche'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(6.445-12.47]\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(12.47-18.495]\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(6.445-12.47]\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(12.47-18.495]\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(29.515-44.0325]\'','\'(-inf-10.3575]\'','\'(12.47-18.495]\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(29.515-44.0325]\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(29.515-44.0325]\'','\'(-inf-10.3575]\'','\'(12.47-18.495]\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(29.515-44.0325]\'','\'(-inf-10.3575]\'','\'(12.47-18.495]\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(29.515-44.0325]\'','\'(-inf-10.3575]\'','\'(12.47-18.495]\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(29.515-44.0325]\'','\'(-inf-10.3575]\'','\'(12.47-18.495]\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(29.515-44.0325]\'','\'(-inf-10.3575]\'','\'(12.47-18.495]\'','\'(9.5275-19.005]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(29.515-44.0325]\'','\'(-inf-10.3575]\'','\'(12.47-18.495]\'','\'(9.5275-19.005]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(29.515-44.0325]\'','\'(-inf-10.3575]\'','\'(12.47-18.495]\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'',Pyrite
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'',Pyrite
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'',Pyrite
'\'(29.515-44.0325]\'','\'(-inf-10.3575]\'','\'(12.47-18.495]\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'',Pyrite
'\'(14.9975-29.515]\'','\'(-inf-10.3575]\'','\'(6.445-12.47]\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(5253.75-inf)\'',Chalcopyrites
'\'(29.515-44.0325]\'','\'(10.3575-20.685]\'','\'(6.445-12.47]\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(5253.75-inf)\'',Chalcopyrites
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'',Galène
