CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu,'Type de roche'
'\'(47.5-48.59]\'','\'(-inf-0.065]\'','\'(19.8-20.36]\'','\'(27.35-27.83]\'','\'(-inf-91]\'','\'(-inf-2.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(47.5-48.59]\'','\'(0.335-0.55]\'','\'(19.8-20.36]\'','\'(27.35-27.83]\'','\'(298.5-435]\'','\'(36.5-117]\'','\'(5.5-6.5]\'','\'(0.5-1.5]\'',C1
'\'(47.5-48.59]\'','\'(0.065-0.085]\'','\'(19.8-20.36]\'','\'(27.35-27.83]\'','\'(-inf-91]\'','\'(5.5-8]\'','\'(-inf-5.5]\'','\'(0.5-1.5]\'',C1
'\'(46.78-47.5]\'','\'(0.195-0.255]\'','\'(20.36-20.77]\'','\'(26.87-27.35]\'','\'(91-162]\'','\'(2.5-3.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(46.78-47.5]\'','\'(-inf-0.065]\'','\'(19.46-19.8]\'','\'(27.35-27.83]\'','\'(-inf-91]\'','\'(4.5-5.5]\'','\'(-inf-5.5]\'','\'(5.5-13]\'',C1
'\'(46.78-47.5]\'','\'(-inf-0.065]\'','\'(19.8-20.36]\'','\'(27.35-27.83]\'','\'(-inf-91]\'','\'(-inf-2.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(46.78-47.5]\'','\'(0.145-0.195]\'','\'(19.46-19.8]\'','\'(27.35-27.83]\'','\'(208-298.5]\'','\'(4.5-5.5]\'','\'(-inf-5.5]\'','\'(2.5-3.5]\'',C1
'\'(46.78-47.5]\'','\'(0.145-0.195]\'','\'(19.46-19.8]\'','\'(27.35-27.83]\'','\'(162-208]\'','\'(15-36.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(46.78-47.5]\'','\'(0.065-0.085]\'','\'(19.46-19.8]\'','\'(27.35-27.83]\'','\'(91-162]\'','\'(3.5-4.5]\'','\'(-inf-5.5]\'','\'(0.5-1.5]\'',C1
'\'(46.78-47.5]\'','\'(0.065-0.085]\'','\'(19.46-19.8]\'','\'(26.87-27.35]\'','\'(-inf-91]\'','\'(5.5-8]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(46.78-47.5]\'','\'(0.255-0.335]\'','\'(19.46-19.8]\'','\'(26.87-27.35]\'','\'(1247.5-9445.5]\'','\'(2.5-3.5]\'','\'(6.5-7.5]\'','\'(1.5-2.5]\'',C1
'\'(46.78-47.5]\'','\'(0.145-0.195]\'','\'(18.83-19.46]\'','\'(27.35-27.83]\'','\'(208-298.5]\'','\'(3.5-4.5]\'','\'(-inf-5.5]\'','\'(2.5-3.5]\'',C1
'\'(45.715-46.78]\'','\'(0.255-0.335]\'','\'(19.46-19.8]\'','\'(26.87-27.35]\'','\'(435-790.5]\'','\'(-inf-2.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(45.715-46.78]\'','\'(0.145-0.195]\'','\'(18.83-19.46]\'','\'(26.87-27.35]\'','\'(91-162]\'','\'(-inf-2.5]\'','\'(7.5-12.5]\'','\'(0.5-1.5]\'',C1
'\'(45.715-46.78]\'','\'(0.255-0.335]\'','\'(19.46-19.8]\'','\'(26.87-27.35]\'','\'(298.5-435]\'','\'(5.5-8]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(45.715-46.78]\'','\'(0.195-0.255]\'','\'(19.46-19.8]\'','\'(26.87-27.35]\'','\'(435-790.5]\'','\'(3.5-4.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
